FirstName,Phone,Notes
John,9876543210,Follow up for product demo
Sarah,9876543211,Interested in premium plan
Michael,9876543212,Called back on Monday
Emma,9876543213,Send quotation
David,9876543214,Schedule meeting next week
Lisa,9876543215,Request for pricing details
James,9876543216,Hot lead - close soon
Maria,9876543217,Send product brochure
Robert,9876543218,Follow up after 2 days
Jennifer,9876543219,Interested in bulk order
William,9876543220,Call between 2-4 PM
Patricia,9876543221,Send trial access
Richard,9876543222,Needs technical demo
Linda,9876543223,Budget approved
Charles,9876543224,Decision maker meeting
